sov_line_id,project_id,project_name,line_number,description,actual_hours,pct_complete,approved_co_value,pending_cos,actual_labor_cost_y,actual_material_cost_y,total_actual_cost_y,scheduled_value_y,total_budget_y,budgeted_material_y,budgeted_labor_y,total_billed_y,LaborCost,Variance,Budget Coverage,realized_margin_pct_y,labor_variance_pct_y,material_variance_pct_y
PRJ-2021-260-SOV-01,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,1,General Conditions & Project Management,7760.0,100.0,214600.0,0,3818653.3700000024,1171922.17,4990575.540000003,2608000,1691700,355100,807100,2593200,3818653.3700000024,3298875.540000003,0.6486579754601227,-91.3564240797547,373.13261925412,230.02595606871301
PRJ-2022-322-SOV-02,PRJ-2022-322,Kansas City Corporate Campus - HVAC Systems,2,Submittals & Engineering,2808.0,100.0,547500.0,0,3955480.170000002,1978561.93,5934042.100000002,4371000,3370600,687600,1664800,4346700,3955480.170000002,2563442.1000000024,0.7711278883550675,-35.75937085335169,137.59491650648735,187.74897178592204
PRJ-2021-260-SOV-11,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,11,Controls - Programming & Commissioning,2722.0,97.6,214600.0,0,3818653.3700000024,1171922.17,4990575.540000003,2608000,1691700,355100,807100,2593200,3818653.3700000024,3298875.540000003,0.6486579754601227,-91.3564240797547,373.13261925412,230.02595606871301
PRJ-2018-052-SOV-02,PRJ-2018-052,Richmond Mixed-Use Tower - Mechanical,2,Submittals & Engineering,1820.0,100.0,246700.0,0,2388616.230000002,1337990.14,3726606.370000002,3101000,3133800,597300,1576900,3076200,2388616.230000002,592806.370000002,1.0105772331505967,-20.174342792647597,51.47544105523507,124.00638540097103
PRJ-2021-260-SOV-02,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,2,Submittals & Engineering,2776.0,100.0,214600.0,0,3818653.3700000024,1171922.17,4990575.540000003,2608000,1691700,355100,807100,2593200,3818653.3700000024,3298875.540000003,0.6486579754601227,-91.3564240797547,373.13261925412,230.02595606871301
PRJ-2019-113-SOV-01,PRJ-2019-113,Kansas City Middle School - HVAC Systems,1,General Conditions & Project Management,8280.0,100.0,543500.0,0,3936787.960000002,1437174.68,5373962.6400000015,3319000,2308800,427500,1126100,3298500,3936787.960000002,3065162.6400000015,0.6956312142211509,-61.91511419102144,249.59488144924978,236.18121169590643
PRJ-2019-113-SOV-02,PRJ-2019-113,Kansas City Middle School - HVAC Systems,2,Submittals & Engineering,2646.0,100.0,543500.0,0,3936787.960000002,1437174.68,5373962.6400000015,3319000,2308800,427500,1126100,3298500,3936787.960000002,3065162.6400000015,0.6956312142211509,-61.91511419102144,249.59488144924978,236.18121169590643
PRJ-2020-203-SOV-01,PRJ-2020-203,San Antonio High School - New Construction,1,General Conditions & Project Management,8980.0,100.0,926000.0,0,4167158.1700000023,1948588.74,6115746.910000002,4570000,3477100,731100,1711600,4541500,4167158.1700000023,2638646.910000002,0.7608533916849015,-33.82378358862149,143.46565611124106,166.5283463274518
PRJ-2021-260-SOV-09,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,9,Equipment - Terminal Units (VAV/FCU),4350.0,99.9,214600.0,0,3818653.3700000024,1171922.17,4990575.540000003,2608000,1691700,355100,807100,2593200,3818653.3700000024,3298875.540000003,0.6486579754601227,-91.3564240797547,373.13261925412,230.02595606871301
PRJ-2021-260-SOV-12,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,12,Insulation,2272.0,97.6,214600.0,0,3818653.3700000024,1171922.17,4990575.540000003,2608000,1691700,355100,807100,2593200,3818653.3700000024,3298875.540000003,0.6486579754601227,-91.3564240797547,373.13261925412,230.02595606871301
PRJ-2023-383-SOV-02,PRJ-2023-383,Pittsburgh High School - New Construction,2,Submittals & Engineering,1644.0,100.0,182300.0,0,2163944.280000002,1365564.27,3529508.5500000017,3222000,3217600,665100,1612700,3199000,2163944.280000002,311908.5500000017,0.9986343885785226,-9.54402700186225,34.18145222298023,105.31713576905727
PRJ-2021-260-SOV-06,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,6,Piping - Refrigerant,2336.0,99.9,214600.0,0,3818653.3700000024,1171922.17,4990575.540000003,2608000,1691700,355100,807100,2593200,3818653.3700000024,3298875.540000003,0.6486579754601227,-91.3564240797547,373.13261925412,230.02595606871301
PRJ-2019-128-SOV-02,PRJ-2019-128,Kansas City High School - New Construction,2,Submittals & Engineering,1696.0,100.0,133700.0,0,2227059.3300000024,1428588.4,3655647.7300000023,3238000,3348800,712900,1632100,3218200,2227059.3300000024,306847.7300000023,1.0342186534898086,-12.898323965410817,36.45360762208213,100.39113480151494
PRJ-2021-315-SOV-01,PRJ-2021-315,Baltimore Mixed-Income Housing - Climate Control,1,General Conditions & Project Management,8600.0,100.0,888300.0,0,4299798.540000005,2268492.2,6568290.740000005,5465000,5686700,1071400,2986700,5430000,4299798.540000005,881590.7400000049,1.0405672461116193,-20.18830265324803,43.96486222252,111.73158484226249
PRJ-2021-318-SOV-01,PRJ-2021-318,Boston Middle School - HVAC Systems,1,General Conditions & Project Management,3934.0,100.0,200700.0,0,1889886.7900000014,1025452.99,2915339.780000001,2373000,2280200,469100,1141400,2358100,1889886.7900000014,635139.7800000012,0.9608933839022334,-22.854605141171564,65.57620378482578,118.60008313792368
PRJ-2020-184-SOV-01,PRJ-2020-184,San Antonio Cloud Campus Phase 1 - Cooling,1,General Conditions & Project Management,8462.0,100.0,958500.0,0,3956378.550000002,2542634.77,6499013.320000002,5820000,5539500,1141300,2753400,5786200,3956378.550000002,959513.3200000022,0.9518041237113402,-11.666895532646086,43.690657005883715,122.78408569175501
