sov_line_id,project_id,project_name,line_number,description,scheduled_value,budgeted_labor,budgeted_material,total_budget,actual_labor_cost,actual_hours,actual_material_cost,total_actual_cost,total_billed,pct_complete,approved_co_value,pending_cos,realized_margin_pct,labor_variance_pct,material_variance_pct
PRJ-2021-260-SOV-01,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,1,General Conditions & Project Management,208400,82600,46000,128600,664714.4099999991,7760.0,0.0,664714.4099999991,208400,100.0,214600.0,0,-218.96,704.74,-100.0
PRJ-2022-322-SOV-02,PRJ-2022-322,Kansas City Corporate Campus - HVAC Systems,2,Submittals & Engineering,80600,43100,25600,68700,237109.19000000012,2808.0,0.0,237109.19000000012,80600,100.0,547500.0,0,-194.18,450.14,-100.0
PRJ-2021-260-SOV-11,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,11,Controls - Programming & Commissioning,100100,45900,27200,73100,234347.73000000045,2722.0,43997.810000000005,278345.54000000044,97700,97.6,214600.0,0,-178.07,410.56,61.76
PRJ-2018-052-SOV-02,PRJ-2018-052,Richmond Mixed-Use Tower - Mechanical,2,Submittals & Engineering,59800,40100,20400,60500,160787.44000000024,1820.0,0.0,160787.44000000024,59800,100.0,246700.0,0,-168.88,300.97,-100.0
PRJ-2021-260-SOV-02,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,2,Submittals & Engineering,90000,41500,20700,62200,241189.17000000042,2776.0,0.0,241189.17000000042,90000,100.0,214600.0,0,-167.99,481.18,-100.0
PRJ-2019-113-SOV-01,PRJ-2019-113,Kansas City Middle School - HVAC Systems,1,General Conditions & Project Management,287100,120200,56600,176800,712563.7199999989,8280.0,0.0,712563.7199999989,287100,100.0,543500.0,0,-148.19,492.82,-100.0
PRJ-2019-113-SOV-02,PRJ-2019-113,Kansas City Middle School - HVAC Systems,2,Submittals & Engineering,92400,45600,16100,61700,228125.1600000002,2646.0,0.0,228125.1600000002,92400,100.0,543500.0,0,-146.89,400.27,-100.0
PRJ-2020-203-SOV-01,PRJ-2020-203,San Antonio High School - New Construction,1,General Conditions & Project Management,318500,147000,92900,239900,785688.3099999992,8980.0,0.0,785688.3099999992,318500,100.0,926000.0,0,-146.68,434.48,-100.0
PRJ-2021-260-SOV-09,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,9,Equipment - Terminal Units (VAV/FCU),239300,28800,0,151000,378808.4300000001,4350.0,197248.34,576056.7700000001,239100,99.9,214600.0,0,-140.73,1215.31,
PRJ-2021-260-SOV-12,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,12,Insulation,100700,46500,0,96400,200769.2500000001,2272.0,38035.18,238804.43000000008,98300,97.6,214600.0,0,-137.14,331.76,
PRJ-2023-383-SOV-02,PRJ-2023-383,Pittsburgh High School - New Construction,2,Submittals & Engineering,58900,35700,21000,56700,139644.61000000022,1644.0,0.0,139644.61000000022,58900,100.0,182300.0,0,-137.09,291.16,-100.0
PRJ-2021-260-SOV-06,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,6,Piping - Refrigerant,111700,44600,25800,70400,206985.50000000035,2336.0,41701.74,248687.24000000034,111600,99.9,214600.0,0,-122.64,364.09,61.63
PRJ-2019-128-SOV-02,PRJ-2019-128,Kansas City High School - New Construction,2,Submittals & Engineering,65500,42600,23600,66200,145773.36000000025,1696.0,0.0,145773.36000000025,65500,100.0,133700.0,0,-122.55,242.19,-100.0
PRJ-2021-315-SOV-01,PRJ-2021-315,Baltimore Mixed-Income Housing - Climate Control,1,General Conditions & Project Management,330400,214000,94000,308000,727086.6399999999,8600.0,0.0,727086.6399999999,330400,100.0,888300.0,0,-120.06,239.76,-100.0
PRJ-2021-318-SOV-01,PRJ-2021-318,Boston Middle School - HVAC Systems,1,General Conditions & Project Management,158000,107900,49600,157500,338573.7199999997,3934.0,0.0,338573.7199999997,158000,100.0,200700.0,0,-114.29,213.78,-100.0
PRJ-2020-184-SOV-01,PRJ-2020-184,San Antonio Cloud Campus Phase 1 - Cooling,1,General Conditions & Project Management,339200,209400,136800,346200,724428.3999999987,8462.0,0.0,724428.3999999987,339200,100.0,958500.0,0,-113.57,245.95,-100.0
PRJ-2019-152-SOV-01,PRJ-2019-152,Phoenix Mixed-Use Tower - Mechanical,1,General Conditions & Project Management,167000,90300,54000,144300,349165.8299999999,3984.0,0.0,349165.8299999999,167000,100.0,200000.0,0,-109.08,286.67,-100.0
PRJ-2022-322-SOV-01,PRJ-2022-322,Kansas City Corporate Campus - HVAC Systems,1,General Conditions & Project Management,336800,135600,68200,203800,697415.2499999984,8106.0,0.0,697415.2499999984,336800,100.0,547500.0,0,-107.07,414.32,-100.0
PRJ-2022-325-SOV-01,PRJ-2022-325,Minneapolis Apartment Complex - MEP,1,General Conditions & Project Management,286000,210600,92300,302900,587005.6200000001,6778.0,0.0,587005.6200000001,286000,100.0,670700.0,0,-105.25,178.73,-100.0
PRJ-2021-260-SOV-03,PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,3,Ductwork - Fabrication,235300,86800,63500,150300,375306.44000000024,4356.0,102537.66,477844.1000000002,235100,99.9,214600.0,0,-103.08,332.38,61.48
PRJ-2021-318-SOV-11,PRJ-2021-318,Boston Middle School - HVAC Systems,11,Controls - Programming & Commissioning,90100,53500,36600,90100,142842.4800000002,1674.0,39444.13,182286.61000000022,88000,97.7,200700.0,0,-102.32,167.0,7.77
